項次,AP位置
1,第一航廈入境1樓北公話亭
2,第一航廈入境1樓南公話亭
3,第一航廈行李提領大廳南側
4,第一航廈行李提領大廳北側
5,第一航廈入境B1巴士站北側
6,第一航廈入境B1巴士站南側
7,第一航廈B1員工餐廳
8,第一航廈出境服務台
9,第一航廈出境1樓12號報到櫃檯
10,第一航廈出境1樓10號報到櫃檯
11,第一航廈出境1樓4號報到櫃檯
12,第一航廈出境1樓 2號報到櫃檯
13,第一航廈出境3樓北側
14,第一航廈出境3樓南側
15,第一航廈A1候機室
16,第一航廈A3候機室
17,第一航廈A4候機室
18,第一航廈A5候機室
19,第一航廈A6轉機室
20,第一航廈A6候機室
21,第一航廈A7候機室
22,第一航廈A8候機室
23,第一航廈A9候機室
24,第一航廈B1候機室
25,第一航廈B3候機室
26,第一航廈B4候機室
27,第一航廈B5候機室
28,第一航廈B6候機室
29,第一航廈B6轉機室
30,第一航廈B7候機室
31,第一航廈B8候機室
32,第一航廈B9候機室
33,第二航廈2樓訪客接待室
34,第二航廈2樓業務處會議室
35,第二航廈2樓會計處會議室
36,第二航廈南側巡迴巴士候車室
37,第二航廈B124會議室
38,第二航廈2樓營安處OCC
39,第二航廈 B2公共事務室
40,第二航廈 B2總務處收發室
41,第二航廈入境1樓南公話亭
42,第二航廈入境1樓北公話亭
43,第二航廈客運巴士候車室
44,第二航廈行李提領大廳2號轉盤
45,第二航廈行李提領大廳5號轉盤
46,第二航廈行李提領大廳7號轉盤
47,第二航廈行李提領大廳8號轉盤
48,第二航廈1樓1019簡報室
49,第二航廈2樓長廊北側
50,第二航廈2樓長廊南側
51,第二航廈出境3樓3B報到櫃檯
52,第二航廈出境3樓6A報到櫃檯
53,第二航廈出境3樓1A報到櫃檯
54,第二航廈出境3樓8A報到櫃檯
55,第二航廈出境3樓南公話亭
56,第二航廈出境3樓北公話亭
57,第二航廈3樓管制區中央南樓梯
58,第二航廈3樓管制區中央北樓梯
59,第二航廈3樓管制區北側
60,第二航廈3樓管制區南側
61,第二航廈2樓C1候機室
62,第二航廈2樓C2候機室
63,第二航廈2樓C3候機室
64,第二航廈2樓C4候機室
65,第二航廈2樓C5候機室
66,第二航廈2樓C6候機室
67,第二航廈2樓C7候機室
68,第二航廈2樓C8候機室
69,第二航廈2樓C9候機室
70,第二航廈2樓C10候機室
71,第二航廈3樓C1候機室
72,第二航廈3樓C2候機室
73,第二航廈3樓C3候機室
74,第二航廈3樓C4候機室
75,第二航廈3樓C5候機室
76,第二航廈3樓C6候機室
77,第二航廈3樓C7候機室
78,第二航廈3樓C8候機室
79,第二航廈3樓C9候機室
80,第二航廈3樓C10候機室
81,第二航廈2樓D1候機室
82,第二航廈2樓D2候機室
83,第二航廈2樓D3候機室
84,第二航廈2樓D4候機室
85,第二航廈2樓D5候機室
86,第二航廈2樓D6候機室
87,第二航廈2樓D7候機室
88,第二航廈2樓D8候機室
89,第二航廈2樓D9候機室
90,第二航廈2樓D10候機室
91,第二航廈3樓D1候機室
92,第二航廈3樓D2候機室
93,第二航廈3樓D3候機室
94,第二航廈3樓D4候機室
95,第二航廈3樓D5候機室
96,第二航廈3樓D6候機室
97,第二航廈3樓D7候機室
98,第二航廈3樓D8候機室
99,第二航廈3樓D9候機室
100,第二航廈3樓D10候機室
101,T1出境一樓中(服務台)
102,T1出境一樓中
103,T1入境一樓北服務台
104,T1出境一樓南服務台
105,T1巴士站南側
106,T1巴士站北側
107,T1出境三樓南惻
108,T1出境三樓北惻
109,T2入境一樓南側公話立亭
110,T2入境一樓北側公話立亭
111,T2南側巡迴巴士站
112,T2北側客運巴士站
113,T2出境三樓3號櫃檯上方
114,T2出境三樓6號櫃檯上方

