StartDate,EndDate,AirlineIATA,FlightNo,Week,FlightTo,STDDatetime,Relay1,Relay1ETATime,Relay1ETDTime,FlightFrom,STADatetime,AircraftType,FlightType,AirlineNameCH
"2022-12-14+08:00","2022-12-14+08:00","AK","AK1510","0030000","BKI","1640","null","null","null","TPE","1955","320","FOR_SCHEDULE_P","馬亞洲航空"
"2022-12-14+08:00","2022-12-14+08:00","AK","AK1511","0030000","TPE","2035","null","null","null","BKI","0010+1","320","FOR_SCHEDULE_P","馬亞洲航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR028","0030000","TPE","2330","null","null","null","SFO","1830","77W","FOR_SCHE_EXT_P","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR386","0030000","HAN","1820","null","null","null","TPE","2135","77W","FOR_SCHEDULE_P","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR6030","0030000","SIN","0930","null","null","null","TPE","1400","77X","FOR_SCHEDULE_CR","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR6077","0030000","TPE","0940","null","null","null","BKK","1235","77X","FOR_SCHEDULE_C","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR6078","0030000","BKK","1425","null","null","null","TPE","1855","77X","FOR_SCHEDULE_C","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR619","0030000","LAX","0500","null","null","null","TPE","1030+1","77X","FOR_SCHEDULE_C","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR620","0030000","TPE","0500","null","null","null","LAX","0140","77X","FOR_SCHEDULE_C","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR623","0030000","ORD","1800","null","null","null","TPE","2235+1","77X","FOR_SCHEDULE_C","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR624","0030000","TPE","1140","null","null","null","ORD","1230","77X","FOR_SCHEDULE_C","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR625","0030000","JFK","1545","ANC","1930","2030","TPE","2245+1","77X","FOR_SCHEDULE_C","長榮航空"
"2022-12-14+08:00","2022-12-14+08:00","BR","BR634","0030000","TPE","0755","null","null","null","ORD","0725","77X","FOR_SCHEDULE_C","長榮航空"
