yyyyMMdd,ArrivalNum,DepartureNum,ArrivalTransitNum,DepartureTransitNum,ArrivalTransferNum,DepartureTransferNum
"2022-01-01","1619","1714","0","0","0","0"
"2022-01-02","1529","1099","0","0","0","0"
"2022-01-03","1390","598","0","0","0","0"
"2022-01-04","1706","953","0","0","0","0"
"2022-01-05","2503","1727","0","0","0","0"
"2022-01-06","1964","1213","0","0","0","0"
"2022-01-07","3371","1705","0","0","0","0"
"2022-01-08","2761","1788","0","0","0","0"
"2022-01-09","2403","1386","0","0","0","0"
"2022-01-10","2179","860","0","0","0","0"
"2022-01-11","1885","984","0","0","0","0"
"2022-01-12","2396","1956","0","0","0","0"
"2022-01-13","2191","1147","0","0","0","0"
"2022-01-14","3410","1705","0","0","0","0"
"2022-01-15","2977","1779","0","0","0","0"
"2022-01-16","2607","1414","0","0","0","0"
"2022-01-17","899","691","0","0","0","0"
"2022-01-18","1081","1270","0","0","0","0"
"2022-01-19","1131","1758","0","0","0","0"
"2022-01-20","1343","1328","0","0","0","0"
"2022-01-21","1571","1764","0","0","0","0"
"2022-01-22","1277","1427","0","0","0","0"
"2022-01-23","1551","1506","0","0","0","0"
"2022-01-24","815","523","0","0","0","0"
"2022-01-25","905","895","0","0","0","0"
"2022-01-26","1155","1562","0","0","0","0"
"2022-01-27","730","1120","0","0","0","0"
"2022-01-28","1412","1522","0","0","0","0"
"2022-01-29","610","908","0","0","0","0"
"2022-01-30","993","823","0","0","0","0"
"2022-01-31","394","245","0","0","0","0"
"2022-02-01","782","388","0","0","0","0"
"2022-02-02","694","647","0","0","0","0"
"2022-02-03","1049","1126","0","0","0","0"
"2022-02-04","1518","1447","0","0","0","0"
"2022-02-05","985","1911","0","0","0","0"
"2022-02-06","1535","2375","0","0","0","0"
"2022-02-07","1056","1951","0","0","0","0"
"2022-02-08","1285","2294","0","0","0","0"
"2022-02-09","1535","3228","0","0","0","0"
"2022-02-10","1570","3567","0","0","0","0"
"2022-02-11","2121","2980","0","0","0","0"
"2022-02-12","1420","2862","0","0","0","0"
"2022-02-13","2068","3180","0","0","0","0"
"2022-02-14","985","2039","0","0","0","0"
"2022-02-15","752","2356","0","0","0","0"
"2022-02-16","1361","3578","0","0","0","0"
"2022-02-17","885","2462","0","0","0","0"
"2022-02-18","1417","3125","0","0","0","0"
"2022-02-19","770","2595","0","0","0","0"
"2022-02-20","1152","2190","0","0","0","0"
"2022-02-21","606","1515","0","0","0","0"
"2022-02-22","676","1844","0","0","0","0"
"2022-02-23","1136","2678","0","0","0","0"
"2022-02-24","1010","2224","0","0","0","0"
"2022-02-25","1404","2390","0","0","0","0"
"2022-02-26","945","2407","0","0","0","0"
"2022-02-27","1261","1750","0","0","0","0"
"2022-02-28","735","1429","0","0","0","0"
"2022-03-01","670","1814","0","0","0","0"
"2022-03-02","1026","2528","0","0","0","0"
"2022-03-03","810","2326","0","0","0","0"
"2022-03-04","917","2266","0","0","0","0"
"2022-03-05","500","2409","0","0","0","0"
"2022-03-06","440","1516","0","0","0","0"
"2022-03-07","1754","1043","0","0","0","0"
"2022-03-08","1763","1571","0","0","0","0"
"2022-03-09","2274","2552","0","0","0","0"
"2022-03-10","1766","2172","0","0","0","0"
"2022-03-11","1936","2182","0","0","0","0"
"2022-03-12","1543","2303","0","0","0","0"
"2022-03-13","1606","1557","0","0","0","0"
"2022-03-14","735","915","0","0","0","0"
"2022-03-15","1383","1904","0","0","0","0"
"2022-03-16","1832","2608","0","0","0","0"
"2022-03-17","1456","1728","0","0","0","0"
"2022-03-18","2215","2138","0","0","0","0"
"2022-03-19","1671","1872","0","0","0","0"
"2022-03-20","2128","1407","0","0","0","0"
"2022-03-21","1032","762","0","0","0","0"
"2022-03-22","1285","1440","0","0","0","0"
"2022-03-23","1634","2248","0","0","0","0"
"2022-03-24","1363","1899","0","0","0","0"
"2022-03-25","1859","2169","0","0","0","0"
"2022-03-26","1473","1840","0","0","0","0"
"2022-03-27","1815","1172","0","0","0","0"
"2022-03-28","916","821","0","0","0","0"
"2022-03-29","1105","1626","0","0","0","0"
"2022-03-30","1715","2332","0","0","0","0"
"2022-03-31","1982","2016","0","0","0","0"
"2022-04-01","2981","2972","0","0","0","0"
"2022-04-02","1386","1810","0","0","0","0"
"2022-04-03","1772","1460","0","0","0","0"
"2022-04-04","745","738","0","0","0","0"
